id,name,carbon/past,val,carbon/future,energy/past,energy/present,energy/future,intensity/past,intensity/present,intensity/future,location/continent/id,location/continent/value,location/country/id,location/country/value,lat,lon,location/state/id,location/state/value,location/zip,location/city/id,location/city/value,location/metroarea/id,location/metroarea/value,location/county/id,location/county/value,location/congdist/id,location/congdist/value
13201,FAYETTE POWER PROJECT,11875000,12058000,12058000,11397000,11619000,11619000,1040,1040,1040,6255149,North America,6252001,United States,29.9172,-96.7506,4736286,Texas,78945,,,,,4690287,Fayette County,99994825,Lloyd Doggett
19302,INDEPENDENCE (6641),11263000,12122000,12122000,10744000,11390000,11390000,1050,1060,1060,6255149,North America,6252001,United States,35.6733,-91.4083,4099753,Arkansas,72562,,,,,4115832,Independence County,99990501,Rick Crawford
15039,GHENT,12417000,12185000,12185000,12067000,11346000,11346000,1030,1070,1070,6255149,North America,6252001,United States,38.7497,-85.035,6254925,Kentucky,41045,,,,,4287048,Carroll County,99992104,Geoff Davis
15036,GHAZLAN,18816000,12335000,12335000,23892000,14609000,14609000,788,844,844,6255147,Asia,102358,Saudi Arabia,26.6438889,50.1591667,108241,Al Min��aqah ash Sharq��yah,,,,,,,,,
24491,LARAMIE RIVER STATION,13982000,12365000,12365000,12830000,11671000,11671000,1090,1060,1060,6255149,North America,6252001,United States,42.1264,-104.9242,5843591,Wyoming,82070,5821086,Cheyenne,,,5830051,Laramie County,99995600,Cynthia Lummis
44234,GUOHUA TAISHAN,6934900,12394000,33448000,7712800,13510000,32027000,899,917,1040,6255147,Asia,1814991,China,24.310278,114.886667,1809935,Guangdong Sheng,52922,,,,,,,,
19454,INTERMOUNTAIN POWER PROJECT,13889000,12481000,12481000,14435000,13556000,13556000,962,921,921,6255149,North America,6252001,United States,39.5108,-112.5792,5549030,Utah,84624,,,,,5543199,Millard County,99994903,Jason Chaffetz
25273,LIMESTONE,13448000,12750000,0,13017000,11952000,0,1030,1070,0,6255149,North America,6252001,United States,31.4219,-96.2525,4736286,Texas,75846,,,,,4705899,Leon County,99994806,Joe Barton
34320,PETACALCO,9484700,12757000,12757000,9917900,12289000,12289000,956,1040,1040,6255149,North America,3996063,Mexico,18.1333333,-101.6666667,3527213,Guerrero,40811,,,,,,,,
25377,LIPPENDORF,10069000,12800000,12800000,13548000,14900000,14900000,743,859,859,6255148,Europe,2921044,Germany,51.18323022,12.37172834,2842566,Saxony,,,,,,,,,
398,AGIOS DIMITRIOS,13500000,12900000,12900000,13061000,12253000,12253000,1030,1050,1050,6255148,Europe,390903,Greece,40.392099,21.929411,6697811,Ditiki Makedonia,50100,,,,,,,,
13225,BRINDISI SUD,7969200,13000000,13000000,6609400,14252000,14252000,1210,912,912,6255148,Europe,3175395,Italy,40.563889,18.032222,3169778,Apulia,72020,3181528,Brindisi,,,,,,
4546,BIG CAJUN 2,13379000,13011000,13011000,12304000,12058000,12058000,1090,1080,1080,6255149,North America,6252001,United States,30.7261,-91.3669,4331987,Louisiana,70760,,,99999132,"Baton Rouge-Pierre Part, LA",4337708,Pointe Coupee Parish,99992205,Rodney Alexander
