id,name,val,lat,lon
50373,XINZHONGYI,1426700,35.3088889,113.8672222
39317,SAN NICOLAS,1430000,-34.60502491,-58.37606907
50035,WOLFSBURG WEST,1430000,52.4415319,10.76507857
49123,WEDEL,1430000,53.56645804,9.725653553
36451,RAICHIKHINSK,1431000,49.7838,129.4121
48442,VLADIMIR-2,1431100,56.136547,40.396576
23357,KURGANSK-1,1431700,52.304,36.1185
23044,KRASNODAR,1434400,45.0488,38.9725
48689,WAGERUP ALINTA,1435000,-32.9166667,115.8833333
38229,RUIMING,1435000,23.1166667,113.25
3362,BARNAUL-2,1435400,53.360556,83.763611
16719,HAMM-UENTROP,1437000,51.68032582,7.820892334
38836,SALEM HARBOR,1439100,42.5267,-70.8792
72102,EL DORADO ENERGY,1439200,35.7867,-114.9928
14984,GERSTEINWERK,1440000,51.67338156,7.707977812
22933,KOTLAS MILL,1440300,61.31433,47.169136
10403,DECATUR ENERGY CENTER,1440800,34.6292,-87.0214
43307,STOCKEN,1441600,52.37051627,9.733221531
36241,QUANG NINH,1441900,20.9511111,107.08
27916,MEIRAMA,1442200,43.07653696,-8.409004211
38441,SAARBRUCKEN,1444300,49.2333333,7
164,ABU SULTAN,1444500,30.604272,32.272252
2034,ARKAGALA,1444600,63.0494444,147.1858333
21940,KHABAROVSK-1,1445100,50.226111,136.899444
22748,KONDAPALLI,1445200,16.6166667,80.5333333
70494,JOLIET 9,1446100,41.4931,-88.1153
9499,COSUMNES,1447500,38.3461,-121.1217
20930,KALININGRAD TETS-2,1447600,54.706493,20.510951
38600,SAHAND,1449700,37.3404,46.0561
12286,ELK HILLS POWER LLC,1450000,35.2803,-119.311
37619,RIYADH CITY-09-F,1451400,24.68773227,46.72184944
31523,NORGENER,1456500,-22.09198,-70.19792
13144,FARAS,1456800,27.458889,46.864444
34704,PINJARRA WORKS,1458200,-32.6333333,115.8833333
37273,RICHMOND (7805),1458300,34.8422,-79.7444
7523,CEDAR BAY GENERATING COMPANY LP,1459700,30.4219,-81.6079
34965,PLOMIN,1460000,45.1366667,14.1811111
50360,XINHUISHUANG,1461000,22.455995,113.048197
2243,ASBURY,1461500,37.3596,-94.5913
50701,YIYAN,1462100,35.5427778,118.455
20041,JAMES RIVER POWER STATION,1463800,37.1086,-93.2592
49323,WEST COUNTY ENERGY CENTER,1464200,26.6986,-80.3747
63360,LINGZHOU-2,1465200,38.0983333,106.3294444
10097,DALIAN TAISHAN,1465200,38.9122222,121.6022222
14060,FREESTONE POWER GENERATION LP,1465900,31.8907,-96.1128
29047,MONCALIERI,1470000,44.994722,7.676389
45989,TORVISCOSA,1470000,45.816944,13.289722
10091,DALHOUSIE,1470300,48.0519,-66.3702
72501,HOBBS GENERATING STATION,1472900,32.7145,-103.3016
27724,MCCLAIN ENERGY FACILITY,1472900,35.2979,-97.5896
59529,SINOPEC YANGZI,1476800,32.0616667,118.7777778
